Cu_wt_percent,Zn_wt_percent,Pb_wt_percent,Sn_wt_percent,Solutionizing_Temperature_C,Aging_Temperature_C,Aging_Time_hours,Mechanical_Test_Temperature_C,Grain_Size_micrometer,Phases_Present,Primary_Phase_Volume_Fraction_percent,Secondary_Phase_Volume_Fraction_percent,Yield_Strength_MPa,Ultimate_Tensile_Strength_MPa,Elastic_Modulus_GPa,Hardness_Value,Hardness_Scale,Elongation_percent,Strain_Rate_per_second
70.2,29.8,0.0,0.0,850,250.0,2,25,35.0,Alpha,100,0,110,320,110,75,HV,55,0.001
60.5,38.5,1.0,0.0,800,200.0,4,25,22.0,Alpha+Beta,65,35,210,450,105,120,HV,30,0.001
63.2,36.8,0.0,0.0,820,220.0,3,25,28.0,Alpha+Beta,82,18,185,410,108,105,HV,40,0.001
69.5,30.0,0.5,0.0,840,250.0,2,25,40.0,Alpha,99,1,120,330,110,80,HV,52,0.001
59.1,39.9,1.0,0.0,780,180.0,6,25,18.0,Alpha+Beta,55,45,240,480,102,145,HV,25,0.001
65.0,35.0,0.0,0.0,825,210.0,4,25,30.0,Alpha+Beta,88,12,170,390,109,95,HV,42,0.001
70.0,30.0,0.0,0.0,850,250.0,2,25,36.0,Alpha,100,0,105,315,110,72,HV,58,0.001
61.8,37.2,1.0,0.0,810,190.0,5,25,25.0,Alpha+Beta,72,28,205,440,106,115,HV,35,0.001
60.2,38.8,0.5,0.5,795,200.0,4,150,24.0,Alpha+Beta,68,32,150,280,95,100,HV,45,0.01
64.5,35.5,0.0,0.0,820,,3,25,29.0,Alpha+Beta,85,15,180,405,108,100,HV,41,0.001
70.5,29.5,0.0,0.0,850,250.0,2,25,38.0,Alpha,100,0,115,325,110,78,HV,54,0.001
58.5,41.5,0.0,0.0,770,170.0,8,25,15.0,Alpha+Beta+Gamma,45,55,270,510,100,160,HV,18,0.001
62.5,37.5,0.0,0.0,815,200.0,4,25,26.0,Alpha+Beta,78,22,195,430,107,112,HV,38,0.001
