Cu_wt_percent,Zn_wt_percent,Pb_wt_percent,Sn_wt_percent,Solutionizing_Temperature_C,Aging_Temperature_C,Aging_Time_hours,Mechanical_Test_Temperature_C,Grain_Size_micrometer,Phases_Present,Primary_Phase_Volume_Fraction_percent,Secondary_Phase_Volume_Fraction_percent,Yield_Strength_MPa,Ultimate_Tensile_Strength_MPa,Elastic_Modulus_GPa,Hardness_Value,Hardness_Scale,Elongation_percent,Strain_Rate_per_second
63.2,35.5,0.8,0.5,720,350,2.0,25,18.5,α+β,72,28,215,395,103,115,HB,24.1,0.001
68.5,30.1,0.7,0.7,700,300,1.5,20,22.3,α,85,15,185,360,100,92,HB,32.4,0.0008
59.8,39.2,0.6,0.4,750,400,3.0,150,14.7,β,60,40,310,305,105,145,HV,10.5,0.01
70.1,28.7,0.9,0.3,690,280,1.0,25,25.6,α,88,12,170,340,99,85,HB,35.2,0.001
65.0,33.9,0.6,0.5,730,360,2.5,100,19.8,α+β,75,25,230,410,104,120,HV,22.0,0.0005
61.4,37.5,0.7,0.4,740,380,3.0,25,16.2,α+β,68,32,260,420,106,132,HV,18.3,0.001
72.0,26.9,0.6,0.5,680,280,0.5,25,27.9,α,90,10,160,330,98,80,HB,38.5,0.0003
66.3,32.4,0.8,0.5,720,340,2.0,200,21.1,α+β,78,22,225,402,103,118,HB,26.7,0.001
60.5,38.9,0.4,0.2,750,390,3.5,25,15.4,β,62,38,295,290,107,150,HV,9.8,0.01
69.4,29.4,0.7,0.5,700,310,1.5,25,23.3,α,86,14,180,365,101,95,HB,31.2,0.0008
61.9,38.0,0.4,0.3,741,380,3.0,25,16.4,α+β,70,30,263,405,105,130,HB,19.4,0.001
69.0,29.7,0.8,0.6,708,310,1.7,25,23.7,α,84,16,186,372,101,96,HB,29.8,0.001
63.6,35.9,0.5,0.2,727,353,2.2,25,18.4,α+β,73,27,245,412,103,121,HB,23.0,0.001
60.5,39.3,0.4,0.2,747,390,3.2,25,15.7,β,63,37,301,299,107,149,HV,9.3,0.0092
72.1,26.9,0.6,0.4,685,291,0.9,25,28.2,α,90,10,161,336,98,80,HB,38.8,0.0003
62.8,36.7,0.5,0.3,733,356,2.3,25,17.9,α+β,72,28,249,410,103,124,HB,22.0,0.001
59.4,40.3,0.3,0.1,753,398,3.5,25,14.3,β,60,40,316,318,107,152,HV,8.7,0.0103
64.7,34.7,0.7,0.3,732,357,2.5,25,19.1,α+β,75,25,238,407,104,119,HV,24.2,0.001
70.6,28.2,0.7,0.4,697,301,1.2,25,25.8,α,88,12,172,352,100,89,HB,35.8,0.0006
61.3,38.2,0.4,0.2,742,381,3.1,25,16.2,α+β,69,31,270,432,106,134,HV,17.5,0.0013
62.2,37.7,0.5,0.2,739,377,2.8,25,16.6,α+β,70,30,263,404,105,130,HB,19.6,0.001
69.3,29.4,0.8,0.6,710,308,1.7,25,23.8,α,85,15,186,374,101,96,HB,29.7,0.001
63.3,36.1,0.5,0.2,729,355,2.2,25,18.4,α+β,73,27,245,412,103,121,HB,23.1,0.001
60.8,39.0,0.4,0.2,747,388,3.2,25,15.7,β,62,38,301,300,107,149,HV,9.3,0.009
72.4,26.6,0.6,0.4,683,289,0.9,25,28.5,α,90,10,160,334,98,79,HB,39.2,0.0003
62.7,36.9,0.5,0.3,735,356,2.3,25,17.9,α+β,72,28,249,410,103,122,HB,22.0,0.001
59.5,40.2,0.3,0.1,752,398,3.5,25,14.3,β,60,40,316,320,107,152,HV,8.8,0.0102
64.9,34.5,0.7,0.3,732,359,2.5,25,19.1,α+β,75,25,238,407,104,119,HV,24.3,0.001
70.5,28.3,0.7,0.4,699,303,1.2,25,26.0,α,88,12,174,354,100,89,HB,35.7,0.0006
61.5,38.2,0.4,0.2,744,383,3.1,25,16.2,α+β,69,31,272,432,106,134,HV,17.5,0.0013
62.1,37.8,0.5,0.2,741,379,2.9,25,16.5,α+β,70,30,264,406,105,131,HB,19.7,0.001
69.1,29.6,0.8,0.6,711,309,1.6,25,23.6,α,84,16,187,373,101,97,HB,29.6,0.001
63.5,36.0,0.5,0.2,730,354,2.1,25,18.3,α+β,73,27,246,413,103,122,HB,23.3,0.001
60.6,39.2,0.4,0.2,748,389,3.3,25,15.8,β,62,38,302,301,107,150,HV,9.2,0.0091
72.2,26.8,0.6,0.4,684,290,0.8,25,28.3,α,90,10,161,335,98,80,HB,39.0,0.0003
62.4,37.1,0.5,0.3,736,357,2.2,25,17.7,α+β,72,28,250,411,103,123,HB,21.9,0.001
59.6,40.1,0.3,0.1,753,397,3.4,25,14.4,β,60,40,317,319,107,151,HV,8.7,0.0103
65.1,34.3,0.7,0.3,734,360,2.6,25,19.3,α+β,76,24,233,404,104,118,HV,24.6,0.001
70.7,28.1,0.7,0.4,700,304,1.3,25,25.9,α,88,12,175,355,100,90,HB,35.6,0.0006
61.6,38.1,0.4,0.2,745,384,3.0,25,16.1,α+β,69,31,273,433,106,135,HV,17.4,0.0013
62.3,37.6,0.5,0.2,740,378,2.9,25,16.6,α+β,70,30,264,405,105,130,HB,19.8,0.001
69.4,29.3,0.8,0.6,710,308,1.7,25,23.9,α,85,15,187,374,101,97,HB,29.8,0.001
63.7,35.8,0.5,0.2,731,355,2.2,25,18.4,α+β,73,27,247,414,103,123,HB,23.4,0.001
60.9,39.1,0.4,0.2,749,390,3.3,25,15.9,β,62,38,303,302,107,151,HV,9.4,0.0092
72.5,26.5,0.6,0.4,683,289,0.9,25,28.6,α,91,9,162,336,98,80,HB,39.3,0.0003
62.8,36.7,0.5,0.3,735,356,2.3,25,18.0,α+β,72,28,251,412,103,124,HB,22.1,0.001
59.7,40.0,0.3,0.1,754,399,3.6,25,14.5,β,60,40,318,320,107,154,HV,8.9,0.0105
65.0,34.2,0.7,0.3,733,360,2.6,25,19.4,α+β,76,24,234,405,104,119,HV,24.7,0.001
70.8,28.0,0.7,0.4,701,305,1.3,25,26.1,α,88,12,176,356,100,91,HB,36.0,0.0006
61.7,38.0,0.4,0.2,746,385,3.1,25,16.3,α+β,69,31,274,434,106,136,HV,17.6,0.0014
62.4,37.5,0.5,0.2,742,379,2.9,25,16.7,α+β,70,30,265,407,105,131,HB,19.9,0.001
69.5,29.2,0.8,0.6,711,309,1.8,25,24.0,α,85,15,188,375,101,98,HB,29.9,0.001
63.8,35.7,0.5,0.2,732,356,2.3,25,18.5,α+β,73,27,248,415,103,124,HB,23.5,0.001
61.0,39.0,0.4,0.2,750,391,3.4,25,16.0,β,62,38,304,303,107,152,HV,9.5,0.0093
72.6,26.4,0.6,0.4,682,288,0.8,25,28.7,α,91,9,163,337,98,81,HB,39.4,0.0002
62.9,36.6,0.5,0.3,736,357,2.4,25,18.1,α+β,72,28,252,413,103,125,HB,22.2,0.001
59.8,39.9,0.3,0.1,755,400,3.7,25,14.6,β,60,40,319,321,107,155,HV,9.0,0.0106
65.2,34.1,0.7,0.3,734,361,2.7,25,19.5,α+β,76,24,235,406,104,120,HV,24.8,0.001
71.0,27.8,0.7,0.4,702,306,1.4,25,26.2,α,88,12,177,357,100,92,HB,36.1,0.0006
61.8,37.9,0.4,0.2,747,386,3.2,25,16.4,α+β,69,31,275,435,106,137,HV,17.7,0.0014
62.5,37.4,0.5,0.2,741,380,2.9,25,16.7,α+β,70,30,266,408,105,132,HB,20.0,0.001
69.6,29.1,0.8,0.6,712,310,1.8,25,24.1,α,85,15,189,376,101,98,HB,30.0,0.001
63.9,35.6,0.5,0.2,733,357,2.3,25,18.6,α+β,73,27,249,416,103,125,HB,23.6,0.001
61.1,38.9,0.4,0.2,751,392,3.4,25,16.1,β,62,38,305,304,107,153,HV,9.6,0.0094
72.7,26.3,0.6,0.4,681,287,0.8,25,28.8,α,91,9,164,338,98,82,HB,39.5,0.0002
63.0,36.5,0.5,0.3,737,358,2.4,25,18.2,α+β,72,28,253,414,103,126,HB,22.3,0.001
59.9,40.0,0.3,0.1,756,401,3.8,25,14.7,β,60,40,320,322,107,156,HV,9.1,0.0107
65.3,34.0,0.7,0.3,735,362,2.7,25,19.6,α+β,76,24,236,407,104,121,HV,24.9,0.001
71.1,27.7,0.7,0.4,703,307,1.4,25,26.3,α,88,12,178,358,100,93,HB,36.2,0.0006
