Element_1_wt_percent,Element_2_wt_percent,Element_3_wt_percent,Solutionizing_Temperature_C,Aging_Temperature_C,Aging_Time_hours,Mechanical_Test_Temperature_C,Grain_Size_micrometer,Phases_Present,Primary_Phase_Volume_Fraction_percent,Secondary_Phase_Volume_Fraction_percent,Yield_Strength_MPa,Ultimate_Tensile_Strength_MPa,Elastic_Modulus_GPa,Hardness_Value,Hardness_Scale,Elongation_percent,Strain_Rate_per_second
67,34.18,0.77,720,450,1,25,17.6,alpha,83,11.5,283.4,331.4,113.8,138.6,HV,14.1,0.01
71.61,29.59,0.2,720,250,,25,28.5,alpha+beta,57.9,41.4,179.1,280.9,112.1,115.8,HV,9.2,0.0005
69.86,28.04,0.4,800,,6,25,8.4,alpha,87.9,37.9,280.5,295.4,114.4,103.1,HV,23.1,0.001
68.79,34.52,0.24,740,450,4,25,11.1,alpha,83.2,43,224,314.2,100.1,107.3,HV,26.1,0.0005
65.25,33.65,0.23,,350,4,25,9.2,alpha+beta,58.3,34,193.6,264.7,110.4,141.3,HV,10.1,0.001
65.25,33.83,0.03,780,400,4,25,9.1,alpha+beta,58.4,29.5,219.7,194.8,114,85.7,HV,32.8,0.0005
64.46,34.17,0.49,700,250,6,25,31.1,alpha+beta,94.5,21.7,287.4,271.3,101.1,116,HV,22.5,0.0005
70.93,28.59,0.4,760,400,10,25,27,alpha,70,42.3,224,279.8,99.1,110.4,HV,24.8,0.01
68.81,30.87,0.04,700,450,4,25,20.8,alpha+beta,69.8,39.6,202.7,306.7,110.6,117.8,HV,22.1,0.0005
69.66,28.93,0.22,760,450,8,25,10.6,alpha,87.5,6.8,242.3,253.4,107.8,76.3,HV,20.8,0.001
64.16,34.9,0.73,700,250,6,25,21.3,alpha,92.9,6.1,191.2,201.7,112.3,136,HV,25.9,0.001
71.76,32.99,0.19,800,350,,25,20.8,alpha,94.4,20.1,169.9,228.2,100.4,140.2,HV,13,0.01
70.66,30.65,0.12,780,300,4,25,12.7,alpha,85.1,37.4,176.8,171.2085978,111.5,114.6,HV,13.8,0.001
65.7,28.51,0.39,,250,8,25,19.7,alpha+beta,70.1,44.5,176.6,289.8,101.4,123.8,HV,35.6,0.001
65.45,30.49,0.79,760,300,10,25,18.8,alpha+beta,58.3,11,179.7,277,100.8,139.6,HV,38.3,0.001
65.47,30.6,0.19,,,3,25,24.6,alpha,86.1,28.8,178,240.5,100.8,124.5,HV,19.9,0.0005
66.43,33.84,0.54,,300,10,25,25.1,alpha,77.3,20.2,243.3,347.7,111.8,85.7,HV,16.7,0.0005
68.2,33.1,0.61,,350,,25,9.2,alpha,72,43.8,183.6,283,109.3,115.3,HV,28.6,0.001
67.46,35.1,0.19,820,,4,25,18.1,alpha+beta,91.3,38.7,204.9,220.3,106.9,117.5,HV,21.1,0.01
66.33,31.78,0.58,740,300,,25,24.9,alpha,59.4,38.5,276.6,197.3,104.1,104.7,HV,8.8,0.0005
68.89,28.96,0.29,700,,6,25,21.6,alpha,74.7,23.7,221.6,202.7212752,112.9,126.6,HV,13,0.01
65.12,33.71,0.51,,300,2,25,31.1,alpha+beta,55.5,21.6,246.8,221.8,104.7,140.4,HV,30.9,0.001
66.34,34.09,0.51,700,350,4,25,25.8,alpha+beta,73.7,15.9,182.4,207.3,111.9,139.8,HV,29.1,0.001
66.93,32.49,0.43,,300,2,25,12.4,alpha,57.3,7.3,185,211.7,105.5,106.6,HV,8.9,0.0005
67.65,34.17,0.07,760,300,8,25,9.9,alpha+beta,59.8,39.6,165.3,228.5,104.4,82.9,HV,15.1,0.001
70.28,31.95,0.67,740,300,3,25,25.3,alpha+beta,59.7,37.5,182,209.5,105.9,143.9,HV,15.4,0.0005
65.6,32.18,0.26,740,250,1,25,8.7,alpha,81,45,196.2,332.5,103.1,133.7,HV,29.5,0.001
68.11,31.42,0.15,800,250,,25,23.8,alpha+beta,84.8,44.9,183,193.6,110.7,83.7,HV,8.6,0.001
68.74,28.2,0.03,820,250,10,25,33.4,alpha,78.3,27.2,171.5,269.2,106.5,139.5,HV,11.3,0.0005
64.37,28.86,0.47,800,350,3,25,23.5,alpha+beta,93.5,35.8,175.7,249.8,101.9,135.9,HV,33.6,0.0005
68.86,28.25,0.54,800,,4,25,18.5,alpha,70,42.8,219.9,347,113.3,111.3,HV,13.7,0.0005
65.36,33.09,0.01,800,450,2,25,25.4,alpha,66.4,39,186.8,199,104.5,116.4,HV,28.9,0.001
64.52,30.51,0.41,800,300,10,25,20.4,alpha,89.7,14.9,207.4,247.6,107.2,102.9,HV,15.6,0.001
71.59,32.07,0.18,800,300,2,25,22.7,alpha+beta,63.9,23,225.4,344.8,113.4,78.8,HV,11.2,0.01
71.73,35.26,0.52,780,350,6,25,33.4,alpha,93.5,10.2,249.8,327.1,108.6,98.5,HV,15.8,0.0005
70.47,29.99,0.14,740,300,2,25,18.4,alpha+beta,55.5,43.2,165.1,318.9,100,131.2,HV,31.1,0.001
66.44,31.28,0.55,800,250,6,25,34,alpha,93.8,29.2,263.9,223.8,114,75.3,HV,35.4,0.001
64.78,34.04,0.31,,450,8,25,32.4,alpha,56.7,14.1,241.6,209.1,108.7,98.3,HV,34.6,0.0005
69.47,29.83,0.75,740,400,10,25,13.3,alpha+beta,90.6,31.9,170.6,293.7,103.7,102.9,HV,20.7,0.01
67.52,28.62,0.11,740,300,10,25,9.9,alpha,76.1,29.7,273.6,338,100.4,112.6,HV,29.4,0.0005
64.98,30.32,0.27,720,250,1,25,10.7,alpha,94.7,19.3,279.7,274.6,111.5,139.4,HV,14.6,0.01
67.96,29.29,0.09,780,400,4,25,8.5,alpha+beta,58,9.5,167.9,277.2,108.5,99.2,HV,17.4,0.001
64.28,35.44,0.74,800,450,6,25,10.5,alpha,77.2,31.9,196,227.6,107.1,99.3,HV,36.7,0.01
71.27,34.46,0.7,700,400,1,25,26.4,alpha,93.8,25.8,264.8,257.0913698,113.2,126.6,HV,8.4,0.001
66.07,33.07,0.21,760,250,2,25,9.9,alpha,75.9,35.9,257.3,211.8,111.4,106.7,HV,10.7,0.0005
69.3,34.97,0.53,820,,2,25,16.6,alpha,80.2,25.8,184,235,100.6,90.7,HV,14.7,0.0005
66.49,34.43,0.65,,,1,25,30.8,alpha+beta,82.8,39.1,187.2,252.3,103.3,106.7,HV,8.8,0.0005
68.16,29.49,0.44,700,400,10,25,8.6,alpha+beta,73.2,27.1,208.2,266.3,102.2,84.9,HV,13.8,0.01
68.37,35.14,0.42,780,350,2,25,30,alpha,80.1,27.4,223,221.2,110.6,87.3,HV,26.7,0.001
65.48,32.31,0.19,760,400,,25,15.6,alpha+beta,78.4,40.1,240.4,226.8808215,98.6,109.9,HV,21.5,0.0005
71.76,34.46,0.07,780,300,8,25,11.2,alpha,91,21.1,208,283.8,107.7,104.3,HV,36.6,0.0005
70.2,35.17,0.72,,300,8,25,26.8,alpha+beta,56.8,10.4,220.1,229.1,111,139,HV,34.2,0.001
71.52,30.54,0.72,740,,,25,25,alpha,66.2,6.2,257.2,278.8,112.9,100.4,HV,18.9,0.0005
71.16,28.88,0.51,760,350,1,25,31.7,alpha,93,35.2,164.8,206.2,103.8,115.6,HV,16.3,0.001
68.78,29.82,0.27,740,250,,25,27.8,alpha,90.6,29.8,192.8,261.8,112,119.3,HV,20.2,0.001
71.37,31.42,0.28,,300,6,25,29.7,alpha,73.2,33.2,252.7,270.5,99.9,75.9,HV,26.9,0.001
64.71,34.54,0.58,700,,6,25,15.6,alpha,79.8,13.5,276.4,188.8,112.4,121.4,HV,16.6,0.001
65.57,34.89,0.72,,450,1,25,12.8,alpha,66.1,10.5,226.5,237.2,100.2,87.5,HV,28,0.001
64.36,28.06,0.71,700,,,25,28.3,alpha+beta,62.5,5.6,229.2,202.9,104.8,142.3,HV,21.1,0.01
66.6,32.09,0.62,760,300,6,25,29.8,alpha,73.5,19,173.9,190.8,111.6,85.4,HV,25.7,0.0005
67.11,31.34,0.51,760,300,10,25,34.7,alpha+beta,69.1,28.6,218.2,348.3,100.5,104,HV,22,0.01
66.17,29.78,0.07,800,,,25,19.1,alpha,78.3,20.7,229.2,234.8,101.9,81,HV,17.4,0.0005
70.63,28.96,0.13,780,250,10,25,18,alpha+beta,58.1,22.5,191.5,317.7,110.3,144.8,HV,38.4,0.01
66.85,30.7,0.72,800,400,6,25,29,alpha+beta,94,41.2,195,223.3,110.2,110.2,HV,32.4,0.001
66.25,35.54,0.49,780,300,8,25,17.2,alpha+beta,94.4,18.9,209,295.9,108.9,116.7,HV,12.5,0.0005
68.34,30.59,0.01,800,,6,25,33.1,alpha,82.9,25.6,162.6,147.0163724,109.8,79.7,HV,35.8,0.0005
65.13,32.15,0.08,740,,10,25,31.2,alpha,76.4,36.3,201.9,281.3,107.2,127.5,HV,23.6,0.01
70.42,33.62,0.53,760,350,3,25,19.6,alpha+beta,67.4,20.9,187.5,260.2,102.3,89.7,HV,36.6,0.01
64.6,30.91,0,700,400,4,25,28.3,alpha,87.6,29.9,202.6,250,103.9,137.9,HV,33.6,0.0005
71.9,35.77,0.13,780,450,2,25,28.4,alpha+beta,82.4,39.5,175.6,239.3,101.1,89.4,HV,21.6,0.01
