Cu_wt_percent,Zn_wt_percent,Pb_wt_percent,Sn_wt_percent,Solutionizing_Temperature_C,Aging_Temperature_C,Aging_Time_hours,Mechanical_Test_Temperature_C,Grain_Size_micrometer,Phases_Present,Primary_Phase_Volume_Fraction_percent,Secondary_Phase_Volume_Fraction_percent,Yield_Strength_MPa,Ultimate_Tensile_Strength_MPa,Elastic_Modulus_GPa,Hardness_Value,Hardness_Scale,Elongation_percent,Strain_Rate_per_second
63.2,37.7,0.9,0.2,758,231.0,5.0,300,47.5,Alpha+Beta,68,32,154,286,102,102.0,HB,44.9,0.008634
71.3,38.3,0.2,1.0,765,274.0,5.0,100,31.7,Alpha,78,22,83,225,112,43.0,HB,15.5,0.008461
68.2,27.2,0.1,0.4,743,189.0,6.1,25,67.0,Alpha+Beta,56,44,158,184,101,,HV,59.9,0.003259
66.4,31.7,0.5,0.9,696,198.0,1.9,200,57.9,Alpha,99,1,213,150,109,128.0,HRB,30.1,0.008306
60.2,27.9,1.0,0.6,748,237.0,2.8,300,21.4,Alpha,80,20,197,445,110,63.0,HV,28.0,0.000466
60.2,39.8,0.2,0.8,704,275.0,5.1,25,73.8,Alpha+Beta,68,32,192,469,99,95.0,HRB,36.1,0.006003
58.8,36.0,0.7,0.5,817,,7.1,25,67.6,Alpha+Beta,61,39,173,209,116,98.0,HB,7.8,0.002377
70.1,31.3,0.8,0.6,701,299.0,4.9,300,76.5,Alpha,57,43,309,469,116,119.0,HRB,15.0,0.001294
66.4,27.0,0.2,0.5,793,248.0,2.7,25,60.8,Alpha+Beta,77,23,258,477,101,132.0,HB,49.3,0.000862
67.9,31.0,0.7,0.2,662,,5.8,100,52.9,Alpha,97,3,141,416,101,100.0,HRB,,0.006993
58.3,31.2,0.4,0.7,763,183.0,6.2,25,39.3,Alpha+Beta,99,1,264,378,108,,HRB,41.2,0.003465
71.6,37.7,0.6,0.3,773,195.0,2.7,100,75.3,Beta,72,28,273,419,102,118.0,HRB,19.7,0.007275
69.7,36.2,0.6,0.0,755,203.0,3.6,100,70.6,Beta,92,8,158,465,117,63.0,HV,28.4,0.000747
61.0,40.2,0.5,0.6,807,259.0,4.7,300,13.2,Beta,89,11,282,435,108,85.0,HV,22.3,0.003221
60.5,33.6,0.1,0.2,796,298.0,4.5,25,11.8,Beta,69,31,215,440,107,15.0,HB,26.3,0.005441
60.6,27.9,0.8,0.9,794,181.0,3.7,300,36.4,Beta,79,21,105,362,105,155.0,HB,48.1,0.007928
62.3,37.4,0.3,1.0,769,292.0,3.1,25,66.7,Alpha,91,9,258,314,103,137.0,HV,22.8,0.003256
65.3,38.2,0.2,0.9,712,271.0,1.7,25,79.1,Beta,82,18,252,154,103,76.0,HB,39.0,0.006296
64.0,35.0,0.0,0.4,668,211.0,1.4,200,20.5,Beta,64,36,123,227,105,46.0,HV,33.6,0.008871
62.1,38.3,0.6,0.0,741,270.0,7.7,25,51.6,Beta,93,7,212,211,112,43.0,HRB,44.8,0.006197
66.6,33.9,0.7,0.9,707,263.0,6.9,300,36.7,Beta,71,29,149,281,111,63.0,HB,61.2,0.002406
60.0,34.4,0.0,0.4,832,203.0,3.5,100,77.9,Alpha+Beta,93,7,233,238,108,44.0,HB,49.0,0.000342
62.1,32.8,0.5,1.0,739,,7.7,25,68.9,Alpha,76,24,197,386,109,158.0,HV,17.9,0.008714
63.1,26.4,0.2,1.0,766,229.0,5.7,200,68.7,Beta,80,20,147,191,110,33.0,HB,6.9,0.000311
64.4,27.7,0.6,0.9,711,214.0,4.4,300,42.8,Beta,98,2,98,238,105,32.0,HB,20.7,0.00876
69.0,26.5,0.2,0.3,672,212.0,4.5,25,39.0,Beta,79,21,291,445,115,15.0,HRB,40.7,0.005336
60.8,36.2,0.7,0.4,776,212.0,1.6,300,29.1,Alpha,71,29,304,477,98,92.0,HB,8.1,0.009397
65.2,31.0,0.4,0.9,786,240.0,1.6,200,13.9,Alpha+Beta,67,33,99,444,112,129.0,HRB,34.8,0.008008
66.3,34.1,0.9,0.3,789,230.0,5.2,200,70.5,Alpha,74,26,192,253,105,127.0,HV,40.8,0.00998
58.7,40.5,0.1,0.2,778,222.0,4.9,300,66.9,Alpha+Beta,79,21,219,163,108,128.0,HB,25.1,0.003572
66.5,30.0,0.3,0.6,707,280.0,2.5,25,80.0,Beta,58,42,126,437,109,77.0,HRB,,0.007695
60.4,32.6,0.1,0.9,771,191.0,7.6,100,79.8,Beta,64,36,80,328,109,146.0,HV,11.4,0.004079
